ID	(x,y)	        (larg,haut)	 temps(ms)
100	(482, 94)	(17, 51)	10640
68	(578, 69)	(27, 64)	10640
166	(92, 62)	(33, 67)	10640
158	(18, 55)	(33, 57)	10640
0	(498, 38)	(25, 63)	10640
165	(837, 33)	(59, 139)	10640
19	(646, 7)	(17, 62)	10640
78	(681, 3)	(22, 62)	10640
150	(866, 0)	(30, 17)	10640
202	(595, 0)	(20, 41)	10640
141	(569, 0)	(16, 33)	10640
173	(522, 0)	(33, 39)	10640
64	(434, 0)	(50, 86)	10640
191	(407, 0)	(11, 16)	10640
203	(340, 0)	(26, 56)	10640
197	(322, 0)	(16, 28)	10640
184	(84, 0)	(32, 13)	10640
177	(461, 486)	(22, 18)	10680
148	(108, 464)	(54, 40)	10680
199	(698, 443)	(44, 61)	10680
160	(204, 441)	(42, 63)	10680
195	(592, 417)	(54, 87)	10680
178	(466, 377)	(48, 90)	10680
140	(575, 328)	(34, 79)	10680
174	(346, 314)	(32, 67)	10680
198	(354, 297)	(11, 17)	10680
190	(158, 213)	(79, 82)	10680
180	(832, 205)	(39, 47)	10680
110	(433, 185)	(25, 74)	10680
200	(0, 132)	(16, 44)	10680
74	(328, 116)	(29, 75)	10680
100	(483, 94)	(17, 51)	10680
68	(578, 68)	(27, 64)	10680
166	(91, 63)	(33, 68)	10680
158	(18, 55)	(33, 57)	10680
0	(498, 38)	(24, 62)	10680
165	(835, 33)	(61, 140)	10680
19	(646, 7)	(17, 62)	10680
78	(681, 2)	(21, 62)	10680
150	(870, 0)	(26, 17)	10680
202	(594, 0)	(22, 40)	10680
141	(569, 0)	(16, 33)	10680
173	(522, 0)	(33, 39)	10680
64	(434, 0)	(50, 86)	10680
191	(407, 0)	(11, 16)	10680
203	(340, 0)	(27, 57)	10680
197	(322, 0)	(17, 28)	10680
184	(85, 0)	(31, 13)	10680
177	(464, 488)	(16, 16)	10720
148	(111, 467)	(52, 37)	10720
160	(203, 443)	(42, 61)	10720
199	(697, 441)	(45, 63)	10720
195	(588, 416)	(55, 88)	10720
178	(466, 379)	(48, 89)	10720
140	(576, 330)	(33, 77)	10720
174	(346, 312)	(32, 67)	10720
198	(353, 295)	(11, 17)	10720
190	(158, 213)	(79, 82)	10720
180	(832, 207)	(39, 46)	10720
110	(433, 186)	(25, 74)	10720
200	(0, 133)	(15, 44)	10720
74	(328, 116)	(29, 76)	10720
100	(483, 93)	(17, 51)	10720
68	(578, 67)	(27, 64)	10720
166	(91, 65)	(33, 66)	10720
158	(18, 55)	(33, 57)	10720
0	(499, 37)	(23, 62)	10720
165	(830, 33)	(66, 140)	10720
64	(466, 32)	(17, 54)	10720
19	(646, 7)	(17, 63)	10720
78	(680, 2)	(22, 60)	10720
150	(871, 0)	(25, 17)	10720
202	(593, 0)	(23, 40)	10720
141	(569, 0)	(15, 33)	10720
173	(522, 0)	(33, 40)	10720
204	(435, 0)	(29, 87)	10720
191	(407, 0)	(11, 16)	10720
203	(341, 0)	(26, 57)	10720
197	(322, 0)	(17, 28)	10720
184	(86, 0)	(30, 13)	10720
148	(117, 475)	(46, 29)	10760
160	(201, 448)	(42, 56)	10760
199	(698, 437)	(44, 67)	10760
195	(586, 413)	(53, 91)	10760
178	(466, 383)	(49, 97)	10760
140	(576, 334)	(34, 74)	10760
174	(345, 309)	(34, 65)	10760
198	(352, 292)	(11, 17)	10760
190	(158, 214)	(79, 82)	10760
180	(831, 210)	(39, 46)	10760
110	(432, 189)	(26, 75)	10760
200	(0, 136)	(14, 42)	10760
74	(328, 115)	(28, 76)	10760
100	(483, 91)	(17, 50)	10760
68	(579, 67)	(26, 64)	10760
166	(90, 67)	(33, 67)	10760
158	(18, 56)	(33, 57)	10760
0	(498, 36)	(24, 60)	10760
64	(466, 33)	(17, 54)	10760
165	(820, 30)	(76, 144)	10760
19	(646, 8)	(17, 62)	10760
150	(870, 0)	(26, 18)	10760
78	(679, 0)	(22, 59)	10760
202	(593, 0)	(23, 40)	10760
141	(569, 0)	(15, 33)	10760
173	(522, 0)	(33, 40)	10760
204	(435, 0)	(29, 90)	10760
191	(407, 0)	(11, 15)	10760
203	(342, 0)	(25, 57)	10760
197	(322, 0)	(17, 28)	10760
184	(92, 0)	(24, 14)	10760
148	(118, 479)	(44, 25)	10800
160	(201, 449)	(41, 55)	10800
199	(699, 435)	(43, 69)	10800
195	(585, 411)	(51, 93)	10800
178	(466, 386)	(49, 101)	10800
140	(575, 335)	(35, 73)	10800
174	(345, 307)	(34, 63)	10800
198	(352, 290)	(11, 17)	10800
190	(158, 214)	(79, 82)	10800
180	(831, 211)	(39, 46)	10800
110	(432, 190)	(26, 79)	10800
200	(0, 137)	(14, 41)	10800
74	(328, 114)	(28, 77)	10800
100	(483, 90)	(17, 49)	10800
166	(90, 67)	(33, 67)	10800
68	(579, 66)	(26, 65)	10800
158	(18, 56)	(33, 57)	10800
0	(498, 35)	(24, 59)	10800
64	(466, 34)	(17, 53)	10800
165	(817, 29)	(79, 145)	10800
19	(646, 8)	(17, 62)	10800
203	(344, 8)	(23, 49)	10800
150	(870, 0)	(26, 18)	10800
78	(679, 0)	(21, 58)	10800
202	(593, 0)	(22, 40)	10800
141	(569, 0)	(15, 34)	10800
173	(522, 0)	(33, 40)	10800
204	(435, 0)	(28, 92)	10800
191	(407, 0)	(11, 16)	10800
197	(322, 0)	(18, 28)	10800
184	(95, 0)	(20, 14)	10800
148	(119, 482)	(35, 22)	10840
160	(200, 452)	(42, 52)	10840
199	(700, 434)	(42, 70)	10840
195	(584, 409)	(50, 95)	10840
178	(466, 388)	(49, 104)	10840
140	(574, 337)	(37, 71)	10840
174	(345, 306)	(34, 59)	10840
198	(352, 288)	(11, 18)	10840
190	(158, 214)	(79, 82)	10840
180	(830, 213)	(40, 46)	10840
110	(431, 192)	(28, 81)	10840
200	(0, 138)	(13, 40)	10840
74	(328, 114)	(28, 76)	10840
100	(483, 89)	(18, 48)	10840
166	(89, 68)	(33, 67)	10840
68	(579, 66)	(26, 65)	10840
158	(19, 56)	(32, 57)	10840
0	(498, 34)	(24, 59)	10840
64	(466, 34)	(17, 53)	10840
165	(816, 28)	(80, 146)	10840
19	(646, 8)	(16, 62)	10840
203	(346, 8)	(21, 50)	10840
150	(870, 0)	(26, 18)	10840
78	(678, 0)	(22, 58)	10840
202	(592, 0)	(23, 40)	10840
141	(569, 0)	(15, 34)	10840
173	(522, 0)	(33, 40)	10840
204	(434, 0)	(29, 93)	10840
191	(407, 0)	(11, 16)	10840
197	(322, 0)	(18, 28)	10840
184	(98, 0)	(18, 14)	10840
148	(119, 485)	(31, 19)	10880
160	(199, 453)	(42, 51)	10880
199	(699, 432)	(43, 72)	10880
195	(585, 407)	(49, 97)	10880
178	(466, 391)	(49, 104)	10880
140	(574, 339)	(37, 70)	10880
174	(345, 304)	(34, 58)	10880
198	(352, 287)	(11, 17)	10880
190	(157, 215)	(80, 82)	10880
180	(830, 214)	(40, 46)	10880
110	(431, 194)	(28, 81)	10880
200	(0, 140)	(12, 39)	10880
74	(328, 113)	(28, 76)	10880
100	(483, 88)	(18, 48)	10880
166	(88, 69)	(33, 66)	10880
68	(579, 66)	(26, 65)	10880
158	(19, 56)	(31, 57)	10880
64	(466, 35)	(17, 52)	10880
0	(498, 34)	(23, 58)	10880
165	(815, 28)	(81, 147)	10880
19	(646, 8)	(16, 63)	10880
203	(348, 8)	(19, 50)	10880
150	(870, 0)	(26, 18)	10880
78	(678, 0)	(22, 58)	10880
202	(592, 0)	(23, 41)	10880
141	(569, 0)	(15, 34)	10880
173	(522, 0)	(33, 40)	10880
204	(434, 0)	(29, 94)	10880
191	(407, 0)	(11, 16)	10880
197	(322, 0)	(17, 28)	10880
184	(97, 0)	(19, 14)	10880
148	(119, 488)	(29, 16)	10920
160	(199, 455)	(42, 49)	10920
199	(699, 429)	(43, 75)	10920
195	(585, 405)	(48, 96)	10920
178	(466, 394)	(48, 103)	10920
140	(573, 341)	(39, 69)	10920
174	(345, 303)	(34, 58)	10920
198	(352, 286)	(11, 17)	10920
180	(830, 215)	(40, 48)	10920
190	(157, 215)	(80, 82)	10920
110	(431, 195)	(28, 81)	10920
200	(0, 141)	(12, 38)	10920
74	(328, 112)	(28, 75)	10920
100	(483, 78)	(17, 58)	10920
166	(87, 70)	(34, 66)	10920
68	(580, 66)	(25, 65)	10920
158	(19, 57)	(30, 57)	10920
64	(466, 36)	(17, 52)	10920
0	(497, 33)	(24, 59)	10920
165	(814, 28)	(82, 148)	10920
203	(351, 9)	(16, 49)	10920
19	(646, 8)	(16, 63)	10920
150	(871, 0)	(25, 20)	10920
78	(678, 0)	(21, 58)	10920
202	(592, 0)	(23, 41)	10920
141	(569, 0)	(15, 34)	10920
173	(522, 0)	(33, 40)	10920
204	(433, 0)	(30, 95)	10920
191	(407, 0)	(11, 16)	10920
197	(322, 0)	(16, 28)	10920
184	(97, 0)	(21, 15)	10920
148	(121, 493)	(26, 11)	10960
160	(197, 459)	(43, 45)	10960
199	(698, 424)	(45, 80)	10960
178	(467, 399)	(47, 105)	10960
205	(573, 345)	(50, 143)	10960
174	(344, 300)	(34, 61)	10960
198	(352, 283)	(11, 17)	10960
180	(830, 217)	(40, 50)	10960
190	(157, 215)	(79, 82)	10960
110	(431, 198)	(28, 82)	10960
200	(0, 142)	(12, 37)	10960
74	(327, 109)	(29, 73)	10960
100	(482, 87)	(18, 49)	10960
166	(86, 71)	(34, 65)	10960
68	(581, 64)	(24, 65)	10960
158	(19, 57)	(29, 57)	10960
64	(465, 37)	(18, 54)	10960
0	(497, 33)	(23, 59)	10960
165	(814, 27)	(82, 151)	10960
19	(645, 9)	(17, 62)	10960
203	(354, 9)	(15, 49)	10960
150	(871, 0)	(25, 21)	10960
78	(676, 0)	(22, 58)	10960
202	(592, 0)	(24, 41)	10960
141	(569, 0)	(15, 35)	10960
173	(522, 0)	(32, 41)	10960
204	(433, 0)	(29, 96)	10960
191	(407, 0)	(11, 16)	10960
197	(322, 0)	(16, 27)	10960
184	(100, 0)	(27, 15)	10960
148	(124, 495)	(23, 9)	11000
160	(197, 461)	(42, 43)	11000
199	(697, 421)	(46, 83)	11000
178	(467, 401)	(47, 103)	11000
205	(573, 348)	(48, 135)	11000
174	(345, 299)	(33, 62)	11000
198	(352, 282)	(11, 17)	11000
180	(829, 217)	(41, 50)	11000
190	(157, 215)	(79, 82)	11000
110	(431, 199)	(28, 81)	11000
200	(0, 143)	(13, 38)	11000
74	(327, 108)	(29, 71)	11000
100	(482, 77)	(17, 59)	11000
166	(86, 71)	(33, 66)	11000
68	(582, 63)	(24, 65)	11000
158	(19, 57)	(28, 57)	11000
64	(465, 38)	(19, 55)	11000
0	(496, 33)	(24, 59)	11000
165	(814, 27)	(82, 152)	11000
19	(645, 9)	(17, 62)	11000
203	(355, 9)	(16, 49)	11000
150	(873, 0)	(23, 21)	11000
78	(676, 0)	(21, 58)	11000
202	(592, 0)	(24, 41)	11000
141	(569, 0)	(15, 35)	11000
173	(522, 0)	(32, 41)	11000
204	(432, 0)	(30, 97)	11000
191	(407, 0)	(10, 16)	11000
197	(322, 0)	(16, 26)	11000
184	(101, 0)	(15, 15)	11000
160	(197, 463)	(42, 41)	11040
199	(697, 418)	(47, 86)	11040
178	(467, 403)	(47, 101)	11040
205	(573, 350)	(46, 132)	11040
174	(344, 298)	(33, 63)	11040
198	(353, 281)	(10, 17)	11040
180	(830, 218)	(40, 50)	11040
190	(157, 216)	(79, 81)	11040
110	(431, 200)	(27, 81)	11040
200	(0, 144)	(14, 39)	11040
74	(326, 107)	(30, 71)	11040
100	(482, 87)	(17, 49)	11040
166	(85, 72)	(34, 65)	11040
68	(582, 62)	(24, 64)	11040
158	(19, 57)	(28, 57)	11040
64	(465, 39)	(19, 55)	11040
0	(496, 32)	(24, 61)	11040
165	(813, 26)	(83, 154)	11040
19	(645, 9)	(17, 62)	11040
203	(355, 9)	(18, 49)	11040
150	(873, 0)	(23, 21)	11040
78	(675, 0)	(22, 58)	11040
202	(592, 0)	(23, 40)	11040
141	(569, 0)	(15, 35)	11040
173	(521, 0)	(33, 41)	11040
204	(432, 0)	(30, 97)	11040
197	(322, 0)	(16, 25)	11040
184	(102, 0)	(14, 15)	11040
160	(196, 466)	(43, 38)	11080
199	(701, 415)	(43, 89)	11080
178	(466, 404)	(48, 100)	11080
205	(573, 352)	(44, 130)	11080
174	(344, 297)	(33, 64)	11080
198	(353, 280)	(11, 16)	11080
180	(830, 219)	(40, 50)	11080
190	(157, 216)	(79, 81)	11080
110	(431, 202)	(27, 79)	11080
200	(0, 144)	(14, 40)	11080
74	(325, 106)	(31, 71)	11080
100	(481, 86)	(18, 50)	11080
166	(85, 72)	(33, 65)	11080
68	(582, 61)	(24, 63)	11080
158	(19, 57)	(28, 57)	11080
64	(465, 39)	(19, 56)	11080
0	(496, 32)	(23, 61)	11080
165	(813, 25)	(83, 156)	11080
19	(645, 9)	(17, 63)	11080
203	(356, 9)	(20, 50)	11080
150	(873, 0)	(23, 21)	11080
78	(675, 0)	(22, 58)	11080
202	(592, 0)	(23, 39)	11080
141	(569, 0)	(15, 35)	11080
173	(522, 0)	(32, 41)	11080
204	(432, 0)	(30, 97)	11080
206	(387, 0)	(13, 11)	11080
197	(322, 0)	(16, 23)	11080
184	(102, 0)	(14, 15)	11080
160	(196, 468)	(43, 36)	11120
199	(698, 412)	(46, 92)	11120
178	(466, 406)	(48, 98)	11120
205	(574, 354)	(41, 128)	11120
174	(345, 295)	(32, 66)	11120
207	(832, 282)	(15, 15)	11120
198	(353, 279)	(11, 17)	11120
180	(830, 220)	(40, 47)	11120
190	(156, 215)	(81, 82)	11120
110	(432, 203)	(26, 78)	11120
200	(0, 144)	(14, 41)	11120
74	(324, 105)	(33, 72)	11120
100	(481, 86)	(18, 50)	11120
166	(84, 73)	(33, 64)	11120
68	(582, 60)	(24, 62)	11120
158	(19, 58)	(28, 56)	11120
64	(466, 40)	(18, 55)	11120
0	(496, 32)	(23, 61)	11120
165	(813, 25)	(83, 157)	11120
19	(645, 9)	(17, 63)	11120
203	(357, 9)	(22, 50)	11120
150	(875, 0)	(21, 21)	11120
78	(674, 0)	(22, 58)	11120
202	(593, 0)	(23, 38)	11120
141	(569, 0)	(15, 35)	11120
173	(522, 0)	(32, 41)	11120
204	(432, 0)	(30, 97)	11120
206	(387, 0)	(14, 11)	11120
197	(323, 0)	(15, 22)	11120
184	(104, 0)	(12, 15)	11120
160	(195, 473)	(43, 31)	11160
178	(466, 410)	(48, 94)	11160
199	(701, 407)	(44, 97)	11160
205	(570, 358)	(44, 124)	11160
174	(349, 292)	(29, 68)	11160
198	(354, 277)	(11, 16)	11160
180	(830, 223)	(41, 46)	11160
190	(156, 215)	(81, 83)	11160
110	(433, 205)	(26, 76)	11160
200	(0, 136)	(14, 51)	11160
74	(323, 104)	(34, 73)	11160
100	(484, 75)	(15, 59)	11160
166	(83, 74)	(33, 64)	11160
68	(582, 58)	(25, 61)	11160
158	(20, 58)	(27, 57)	11160
64	(466, 41)	(18, 55)	11160
0	(495, 31)	(23, 61)	11160
165	(813, 23)	(83, 159)	11160
203	(359, 10)	(25, 49)	11160
19	(645, 9)	(17, 63)	11160
150	(877, 0)	(19, 21)	11160
78	(673, 0)	(22, 56)	11160
202	(594, 0)	(22, 36)	11160
141	(569, 0)	(15, 35)	11160
173	(520, 0)	(34, 40)	11160
204	(432, 0)	(31, 97)	11160
197	(323, 0)	(15, 21)	11160
184	(106, 0)	(15, 15)	11160
160	(195, 476)	(43, 28)	11200
178	(466, 411)	(48, 93)	11200
199	(702, 405)	(43, 99)	11200
205	(565, 359)	(49, 123)	11200
174	(346, 290)	(29, 68)	11200
198	(355, 275)	(10, 16)	11200
180	(830, 224)	(41, 47)	11200
190	(156, 215)	(81, 83)	11200
110	(433, 206)	(26, 76)	11200
200	(0, 136)	(14, 52)	11200
208	(871, 135)	(25, 47)	11200
74	(323, 104)	(35, 73)	11200
100	(484, 83)	(15, 50)	11200
166	(83, 75)	(33, 64)	11200
158	(20, 58)	(27, 57)	11200
68	(582, 57)	(25, 62)	11200
64	(467, 42)	(17, 54)	11200
0	(495, 30)	(23, 61)	11200
165	(813, 22)	(83, 112)	11200
203	(360, 10)	(25, 49)	11200
19	(645, 9)	(17, 63)	11200
150	(879, 0)	(17, 21)	11200
78	(673, 0)	(22, 55)	11200
202	(594, 0)	(22, 35)	11200
141	(569, 0)	(15, 35)	11200
173	(519, 0)	(35, 40)	11200
204	(433, 0)	(31, 97)	11200
197	(323, 0)	(15, 21)	11200
184	(107, 0)	(17, 15)	11200
160	(195, 478)	(43, 26)	11240
178	(466, 413)	(48, 91)	11240
199	(703, 403)	(42, 101)	11240
205	(562, 361)	(53, 120)	11240
174	(346, 289)	(31, 67)	11240
198	(355, 273)	(10, 16)	11240
180	(830, 226)	(41, 46)	11240
190	(156, 215)	(81, 83)	11240
110	(434, 207)	(26, 75)	11240
208	(872, 136)	(24, 46)	11240
200	(0, 136)	(14, 52)	11240
74	(323, 103)	(35, 74)	11240
166	(83, 76)	(33, 65)	11240
100	(483, 73)	(17, 58)	11240
158	(20, 58)	(27, 57)	11240
68	(582, 56)	(25, 63)	11240
64	(467, 42)	(17, 54)	11240
0	(495, 29)	(22, 60)	11240
165	(811, 22)	(85, 112)	11240
203	(360, 10)	(25, 49)	11240
19	(645, 9)	(17, 63)	11240
150	(881, 0)	(15, 21)	11240
78	(672, 0)	(22, 53)	11240
202	(595, 0)	(21, 35)	11240
141	(569, 0)	(15, 35)	11240
173	(518, 0)	(36, 40)	11240
204	(434, 0)	(30, 97)	11240
197	(323, 0)	(15, 21)	11240
184	(109, 0)	(30, 14)	11240
160	(195, 480)	(41, 24)	11280
178	(466, 416)	(49, 88)	11280
199	(704, 402)	(41, 102)	11280
205	(559, 363)	(57, 118)	11280
174	(346, 287)	(31, 67)	11280
198	(355, 272)	(11, 16)	11280
180	(831, 227)	(40, 47)	11280
190	(156, 214)	(81, 84)	11280
110	(434, 208)	(26, 74)	11280
208	(872, 136)	(24, 46)	11280
200	(0, 136)	(14, 52)	11280
74	(323, 102)	(35, 75)	11280
166	(82, 77)	(33, 66)	11280
100	(483, 71)	(17, 58)	11280
158	(20, 58)	(27, 57)	11280
68	(582, 56)	(26, 63)	11280
64	(467, 42)	(17, 54)	11280
0	(495, 28)	(22, 60)	11280
203	(361, 10)	(25, 48)	11280
19	(645, 9)	(17, 63)	11280
165	(809, 0)	(87, 134)	11280
78	(672, 0)	(22, 51)	11280
202	(596, 0)	(20, 35)	11280
141	(569, 0)	(15, 35)	11280
173	(518, 0)	(36, 40)	11280
204	(435, 0)	(30, 99)	11280
197	(323, 0)	(16, 21)	11280
184	(112, 0)	(27, 14)	11280
160	(194, 482)	(41, 22)	11320
178	(466, 418)	(49, 86)	11320
199	(705, 400)	(39, 103)	11320
205	(557, 365)	(59, 114)	11320
174	(346, 285)	(31, 64)	11320
198	(356, 270)	(10, 16)	11320
180	(831, 229)	(40, 46)	11320
190	(156, 214)	(81, 84)	11320
110	(434, 209)	(26, 77)	11320
208	(873, 137)	(23, 45)	11320
200	(0, 136)	(14, 53)	11320
74	(322, 102)	(36, 75)	11320
166	(82, 77)	(33, 67)	11320
100	(481, 70)	(19, 57)	11320
158	(19, 58)	(28, 57)	11320
68	(582, 56)	(25, 63)	11320
64	(467, 43)	(17, 53)	11320
0	(494, 27)	(23, 59)	11320
19	(645, 9)	(17, 63)	11320
203	(361, 9)	(25, 49)	11320
165	(807, 0)	(89, 133)	11320
78	(672, 0)	(22, 50)	11320
202	(597, 0)	(19, 35)	11320
141	(568, 0)	(15, 35)	11320
173	(518, 0)	(36, 40)	11320
204	(436, 0)	(29, 101)	11320
197	(323, 0)	(15, 21)	11320
184	(115, 0)	(24, 13)	11320
160	(194, 486)	(39, 18)	11360
178	(467, 424)	(48, 80)	11360
199	(706, 395)	(38, 103)	11360
205	(556, 370)	(61, 106)	11360
174	(346, 282)	(30, 60)	11360
198	(355, 267)	(11, 16)	11360
180	(831, 231)	(41, 47)	11360
190	(156, 214)	(80, 84)	11360
110	(434, 213)	(26, 82)	11360
208	(874, 138)	(22, 45)	11360
200	(0, 136)	(14, 53)	11360
74	(323, 100)	(36, 76)	11360
100	(482, 79)	(18, 46)	11360
166	(82, 79)	(32, 68)	11360
158	(19, 58)	(28, 57)	11360
68	(582, 55)	(25, 64)	11360
64	(467, 44)	(17, 53)	11360
0	(493, 26)	(23, 57)	11360
19	(645, 9)	(17, 63)	11360
203	(365, 9)	(20, 48)	11360
165	(803, 0)	(93, 121)	11360
78	(671, 0)	(22, 49)	11360
202	(597, 0)	(19, 35)	11360
141	(568, 0)	(15, 35)	11360
173	(518, 0)	(36, 40)	11360
204	(436, 0)	(30, 104)	11360
197	(323, 0)	(15, 21)	11360
184	(122, 0)	(17, 14)	11360
160	(195, 488)	(36, 16)	11400
178	(467, 427)	(49, 77)	11400
199	(706, 393)	(38, 103)	11400
205	(556, 372)	(62, 101)	11400
209	(0, 295)	(8, 45)	11400
174	(346, 280)	(33, 59)	11400
198	(355, 265)	(11, 16)	11400
180	(832, 233)	(41, 47)	11400
110	(434, 214)	(26, 82)	11400
190	(156, 214)	(80, 84)	11400
208	(875, 138)	(21, 45)	11400
200	(0, 137)	(14, 52)	11400
74	(323, 99)	(37, 76)	11400
166	(81, 80)	(33, 67)	11400
166	(86, 106)	(15, 27)	11400
100	(483, 68)	(17, 57)	11400
158	(19, 58)	(28, 57)	11400
68	(582, 54)	(25, 64)	11400
64	(467, 44)	(17, 54)	11400
0	(493, 25)	(23, 58)	11400
19	(645, 9)	(17, 63)	11400
203	(367, 9)	(18, 48)	11400
165	(802, 0)	(94, 121)	11400
78	(671, 0)	(22, 49)	11400
202	(597, 0)	(19, 35)	11400
141	(568, 0)	(15, 35)	11400
173	(518, 0)	(36, 40)	11400
204	(436, 0)	(30, 105)	11400
197	(323, 0)	(15, 20)	11400
184	(126, 0)	(13, 14)	11400
160	(197, 490)	(32, 14)	11440
178	(467, 430)	(49, 74)	11440
199	(706, 390)	(38, 102)	11440
205	(555, 375)	(64, 92)	11440
209	(0, 294)	(8, 46)	11440
174	(346, 279)	(33, 58)	11440
198	(355, 263)	(10, 16)	11440
180	(833, 234)	(40, 47)	11440
110	(435, 216)	(25, 82)	11440
190	(155, 214)	(81, 84)	11440
208	(876, 139)	(20, 44)	11440
200	(0, 137)	(14, 52)	11440
74	(324, 98)	(36, 76)	11440
166	(81, 81)	(32, 67)	11440
166	(86, 107)	(15, 26)	11440
100	(483, 77)	(17, 48)	11440
158	(19, 58)	(28, 57)	11440
68	(582, 53)	(25, 65)	11440
64	(467, 45)	(17, 55)	11440
0	(493, 24)	(23, 58)	11440
165	(800, 21)	(96, 100)	11440
19	(645, 9)	(17, 63)	11440
203	(370, 9)	(15, 48)	11440
210	(888, 0)	(8, 34)	11440
78	(670, 0)	(22, 49)	11440
202	(597, 0)	(19, 35)	11440
141	(568, 0)	(15, 35)	11440
173	(518, 0)	(36, 40)	11440
204	(436, 0)	(31, 106)	11440
197	(323, 0)	(15, 20)	11440
184	(127, 0)	(15, 14)	11440
160	(199, 492)	(28, 12)	11480
178	(467, 432)	(49, 72)	11480
199	(706, 387)	(38, 99)	11480
205	(555, 372)	(65, 90)	11480
209	(0, 292)	(9, 48)	11480
174	(346, 278)	(33, 59)	11480
198	(355, 262)	(10, 16)	11480
180	(833, 235)	(41, 47)	11480
110	(435, 217)	(25, 83)	11480
190	(155, 214)	(81, 84)	11480
208	(877, 139)	(19, 45)	11480
200	(0, 138)	(14, 53)	11480
74	(324, 97)	(37, 75)	11480
166	(81, 82)	(32, 67)	11480
166	(85, 108)	(15, 26)	11480
100	(484, 77)	(16, 48)	11480
158	(19, 58)	(28, 57)	11480
68	(582, 52)	(25, 65)	11480
64	(467, 46)	(17, 56)	11480
0	(493, 24)	(23, 58)	11480
165	(798, 21)	(98, 100)	11480
19	(645, 9)	(17, 63)	11480
203	(372, 8)	(14, 49)	11480
210	(887, 0)	(9, 34)	11480
78	(669, 0)	(22, 49)	11480
202	(598, 0)	(19, 35)	11480
141	(568, 0)	(15, 35)	11480
173	(519, 0)	(35, 40)	11480
204	(436, 0)	(31, 106)	11480
197	(324, 0)	(14, 19)	11480
184	(127, 0)	(19, 13)	11480
211	(694, 494)	(18, 10)	11520
160	(199, 494)	(23, 10)	11520
178	(467, 435)	(49, 69)	11520
199	(706, 385)	(38, 94)	11520
205	(554, 370)	(67, 92)	11520
209	(0, 292)	(13, 48)	11520
174	(346, 277)	(33, 60)	11520
198	(355, 261)	(10, 16)	11520
180	(834, 236)	(40, 48)	11520
110	(435, 219)	(25, 82)	11520
190	(155, 214)	(81, 84)	11520
208	(878, 140)	(18, 46)	11520
200	(0, 138)	(14, 56)	11520
74	(325, 96)	(37, 73)	11520
166	(81, 82)	(32, 67)	11520
166	(85, 109)	(15, 26)	11520
100	(484, 67)	(17, 58)	11520
158	(18, 58)	(29, 57)	11520
68	(582, 51)	(26, 64)	11520
64	(467, 47)	(17, 56)	11520
0	(492, 24)	(24, 59)	11520
165	(797, 21)	(99, 100)	11520
19	(645, 10)	(17, 62)	11520
203	(373, 8)	(14, 50)	11520
210	(889, 0)	(7, 33)	11520
78	(668, 0)	(23, 49)	11520
202	(598, 0)	(19, 34)	11520
141	(568, 0)	(15, 35)	11520
173	(520, 0)	(34, 40)	11520
204	(437, 0)	(30, 106)	11520
197	(324, 0)	(15, 19)	11520
184	(127, 0)	(24, 13)	11520
211	(683, 489)	(29, 15)	11560
178	(466, 439)	(51, 65)	11560
205	(585, 385)	(37, 78)	11560
199	(705, 380)	(40, 89)	11560
212	(712, 438)	(10, 22)	11560
213	(546, 366)	(37, 86)	11560
209	(0, 286)	(21, 54)	11560
174	(347, 275)	(31, 62)	11560
180	(835, 237)	(41, 49)	11560
110	(436, 221)	(25, 81)	11560
190	(155, 214)	(81, 84)	11560
208	(877, 140)	(19, 50)	11560
200	(0, 139)	(14, 58)	11560
74	(327, 94)	(36, 70)	11560
166	(80, 83)	(32, 66)	11560
100	(484, 75)	(17, 49)	11560
158	(18, 58)	(29, 57)	11560
68	(582, 49)	(26, 61)	11560
64	(467, 48)	(17, 56)	11560
0	(492, 23)	(24, 60)	11560
165	(797, 20)	(99, 100)	11560
19	(645, 9)	(17, 63)	11560
203	(376, 8)	(14, 49)	11560
78	(668, 0)	(22, 49)	11560
202	(598, 0)	(20, 31)	11560
141	(568, 0)	(15, 35)	11560
173	(521, 0)	(33, 40)	11560
204	(437, 0)	(31, 106)	11560
197	(324, 0)	(15, 15)	11560
211	(680, 487)	(32, 17)	11600
178	(466, 441)	(51, 63)	11600
205	(586, 387)	(37, 76)	11600
199	(704, 378)	(41, 90)	11600
213	(541, 365)	(40, 87)	11600
209	(0, 286)	(24, 57)	11600
174	(347, 274)	(31, 63)	11600
180	(835, 238)	(42, 56)	11600
110	(436, 222)	(26, 80)	11600
190	(155, 214)	(81, 84)	11600
208	(877, 141)	(19, 49)	11600
200	(0, 140)	(14, 58)	11600
74	(328, 93)	(35, 68)	11600
166	(80, 84)	(32, 65)	11600
100	(484, 65)	(18, 59)	11600
158	(18, 58)	(29, 57)	11600
64	(467, 49)	(17, 55)	11600
68	(583, 47)	(25, 62)	11600
0	(492, 23)	(24, 60)	11600
165	(796, 19)	(100, 101)	11600
19	(645, 9)	(17, 63)	11600
203	(377, 8)	(17, 49)	11600
78	(668, 0)	(21, 48)	11600
202	(597, 0)	(21, 30)	11600
141	(568, 0)	(15, 35)	11600
173	(521, 0)	(33, 40)	11600
204	(437, 0)	(31, 107)	11600
197	(325, 0)	(14, 14)	11600
211	(679, 485)	(33, 19)	11640
178	(465, 443)	(52, 61)	11640
